id,userId,jobId,phaseId,date,startTime,endTime,hours,description,gpsLatitude,gpsLongitude,synced,quickbooksId,createdAt,updatedAt,regularRate,overtimeRate,totalCost,status,editrequest,editrequestedat,editapprovedby,editapprovedat,regularHours,overtimeHours,doubleTimeHours,estimatedPay,submittedAt,submittedBy,approvedAt,approvedBy,rejectedAt,rejectedBy,rejectionReason,consecutiveDay,autoCalculated,weekNumber,breakMinutes,totalGrossHours,totalNetHours
cTLuLZVAwGDguuoI,23ff66c1-edf2-44f9-bcd2-c1ef202b6c50,65ff340f-5e00-474f-a7ca-abb48509fa18,,2025-07-01 19:00:00,2025-07-02 08:00:00,2025-07-02 16:00:00,8,Work performed on 25-001-001,,,f,,2025-07-02 09:06:13.421,2025-07-02 09:06:13.421,,,,approved,,,,,8.00,0.00,0.00,,,,,,,,,,f,,0,,
gpXvhSe2pXvh8URJ,23ff66c1-edf2-44f9-bcd2-c1ef202b6c50,2657bcb9-7e09-4865-8427-1a23b5d49d9d,,2025-08-21 00:00:00,2025-08-21 08:00:00,2025-08-21 16:00:00,8,Work performed on 25-024-001,,,f,,2025-08-21 20:46:23.498,2025-08-21 20:46:23.498,,,,approved,,,,,8.00,0.00,0.00,,,,,,,,,,f,,0,,
UIH5nyoKIwVGv2w3,739a33a0-a4ca-48b6-962b-2d504ab7d11d,2657bcb9-7e09-4865-8427-1a23b5d49d9d,,2025-08-21 00:00:00,2025-08-21 08:00:00,2025-08-21 11:00:00,3,"Work performed on 25-024-001

Worked on kba press to reset limit switch that was stuck. Worked with John on rollem",,,f,,2025-08-21 20:46:58.724,2025-08-21 20:46:58.724,,,,approved,,,,,3.00,0.00,0.00,,,,,,,,,,f,,0,,
o1hqCdvJUGk387aK,a4b0c5ac-1249-4849-ac85-3dc9e8fd8041,2657bcb9-7e09-4865-8427-1a23b5d49d9d,,2025-08-21 00:00:00,2025-08-21 08:00:00,2025-08-21 17:00:00,9,"Work performed on 25-024-001
worked on item",,,f,,2025-08-21 21:01:33.644,2025-08-21 21:01:33.644,,,,approved,,,,,8.00,0.00,0.00,,,,,,,,,,f,,0,,
e236be4e-5f26-4951-932b-1b3a61653177,23ff66c1-edf2-44f9-bcd2-c1ef202b6c50,20ed11aa-f7ee-45ae-b8e3-0cb5ed10308f,,2025-09-25 00:00:00,2025-09-25 08:00:00,2025-09-25 16:00:00,8,Work performed on 25-031-001,,,f,,2025-09-25 19:14:37.459,2025-09-25 19:14:37.459,,,,approved,,,,,8.00,0.00,0.00,,,,,,,,,,f,,0,,
